"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-04-01 ~ 2026-04-24"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"321","경기도 용인시 기흥구 중동","1096","1096","0000","신동백롯데캐슬에코1단지","151.0200","202604","21","130,000","-","29","개인","개인","2013","동백죽전대로527번길 80","-","중개거래","경기 용인시 기흥구","-"
"322","경기도 오산시 원동","921","0921","0000","오산롯데캐슬스카이파크","84.9967","202604","21","46,000","-","2","개인","개인","2024","원당로 35","-","중개거래","경기 오산시","-"
"323","경기도 용인시 기흥구 중동","1139","1139","0000","신동백서해그랑블2차","84.8100","202604","21","61,800","-","13","개인","개인","2014","언동로217번길 31","-","중개거래","경기 용인시 기흥구","-"
"324","경기도 용인시 기흥구 동백동","596","0596","0000","백현마을한라비발디(1차)","84.9890","202604","21","45,900","-","1","개인","개인","2006","동백7로 97","-","중개거래","경기 용인시 기흥구","-"
"325","경기도 고양시 일산서구 덕이동","1529","1529","0000","하이파크시티일산파밀리에2단지","121.4500","202604","21","45,000","-","14","개인","개인","2011","하이파크3로 111","-","중개거래","경기 고양시 일산서구","-"
"326","경기도 동두천시 광암동","484-3","0484","0003","한성","37.6500","202604","21","3,700","-","1","개인","개인","1989","광암로17번길 15-2","-","직거래","-","-"
"327","경기도 동두천시 생연동","464-9","0464","0009","우성아파트","84.9000","202604","21","10,000","-","3","개인","개인","1992","송터로 21","-","중개거래","경기 양주시, 경기 연천군","-"
"328","경기도 용인시 기흥구 동백동","579","0579","0000","백현마을서해그랑블","84.5700","202604","21","44,200","-","13","개인","개인","2006","동백8로 89","-","중개거래","경기 용인시 기흥구","-"
"329","경기도 남양주시 평내동","601","0601","0000","평내마을신명스카이뷰","59.9016","202604","21","33,000","-","2","개인","개인","2004","의안로 155","-","중개거래","경기 남양주시","-"
"330","경기도 파주시 동패동","1687","1687","0000","숲속길마을6단지동문굿모닝힐","123.1200","202604","20","39,800","-","7","개인","개인","2005","책향기로 371","-","중개거래","경기 파주시","-"
"331","경기도 남양주시 화도읍 창현리","749","0749","0000","신명","59.9500","202604","20","23,000","-","12","개인","개인","1997","창현로 60","-","중개거래","경기 남양주시","-"
"332","경기도 남양주시 화도읍 묵현리","24-11","0024","0011","장미","55.0200","202604","20","12,800","-","12","개인","개인","1995","비룡로 166","-","중개거래","경기 남양주시","-"
"333","경기도 남양주시 진접읍 금곡리","965","0965","0000","자연&어울림","84.9600","202604","20","44,500","-","6","개인","개인","2009","해밀예당1로 51","-","중개거래","경기 남양주시","-"
"334","경기도 화성시 효행구 봉담읍 동화리","647","0647","0000","봉담신동아파밀리에","84.9525","202604","20","37,000","-","16","개인","개인","2015"," 55-39","-","중개거래","경기 화성시 효행구","-"
"335","경기도 화성시 효행구 봉담읍 동화리","628","0628","0000","휴먼시아동화마을5단지","84.9100","202604","20","34,300","-","17","개인","개인","2008"," 22","-","중개거래","경기 화성시 효행구","-"
"336","경기도 남양주시 진접읍 장현리","225-6","0225","0006","신동아","59.5350","202604","20","19,800","-","5","개인","개인","1997","장현로 175","-","중개거래","경기 남양주시","-"
"337","경기도 남양주시 다산동","4002-1","4002","0001","플루리움2단지","134.8780","202604","20","72,000","-","17","개인","개인","2002","도농로 34","-","중개거래","경기 남양주시","-"
"338","경기도 남양주시 다산동","4433","4433","0000","롯데낙천대","59.9600","202604","20","54,500","-","6","개인","개인","2005","미금로 24","-","중개거래","경기 남양주시","-"
"339","경기도 파주시 다율동","986","0986","0000","청석마을9단지대원효성","129.1590","202604","20","32,500","-","3","개인","개인","2006","청석로 300","-","중개거래","경기 파주시","-"
"340","경기도 파주시 다율동","986","0986","0000","청석마을9단지대원효성","110.1220","202604","20","32,000","-","9","개인","개인","2006","청석로 300","-","중개거래","경기 파주시","-"
"341","경기도 남양주시 별내동","869","0869","0000","유승한내들","84.2588","202604","20","57,500","-","20","개인","개인","2014","불암로 337","-","중개거래","경기 남양주시","-"
"342","경기도 화성시 동탄구 능동","1115","1115","0000","동탄숲속마을자연앤경남아너스빌(1115-0)","76.5100","202604","20","62,000","-","10","개인","개인","2008"," 103","-","중개거래","경기 화성시 동탄구","-"
"343","경기도 화성시 동탄구 능동","1151","1151","0000","푸른마을모아미래도","59.0390","202604","20","43,000","-","20","개인","개인","2008"," 21-11","-","중개거래","경기 화성시 동탄구","-"
"344","경기도 화성시 효행구 봉담읍 상리","21-2","0021","0002","한신","59.9600","202604","20","21,400","-","16","개인","개인","1997"," 24","-","중개거래","경기 화성시 효행구","-"
"345","경기도 남양주시 호평동","616","0616","0000","호평마을중흥에스-클래스","84.7681","202604","20","44,500","-","1","개인","개인","2005","늘을3로 65-26","-","중개거래","경기 남양주시","-"
"346","경기도 구리시 수택동","854","0854","0000","대림한숲","51.6600","202604","20","61,700","-","10","개인","개인","1995","체육관로 66","-","중개거래","경기 구리시","-"
"347","경기도 수원시 권선구 금곡동","520","0520","0000","엘지빌리지4","84.4200","202604","20","44,500","-","7","개인","개인","1998","금곡로73번길 71","-","중개거래","경기 수원시 권선구","-"
"348","경기도 수원시 권선구 금곡동","530","0530","0000","엘지빌리지3","84.4200","202604","20","47,000","-","17","개인","개인","1998","금곡로73번길 33","-","중개거래","경기 수원시 권선구","-"
"349","경기도 수원시 권선구 금곡동","530","0530","0000","엘지빌리지2","99.8800","202604","20","47,800","-","18","개인","개인","1998","금곡로 45","-","중개거래","경기 수원시 권선구","-"
"350","경기도 화성시 효행구 기안동","895","0895","0000","기안마을풍성신미주","84.8008","202604","20","22,300","-","5","법인","개인","2004"," 99","-","중개거래","경기 화성시 효행구","-"
"351","경기도 고양시 일산서구 덕이동","382-13","0382","0013","동양라파크","129.8794","202604","20","44,000","103","9","개인","개인","2002","탄중로101번길 60","-","직거래","-","26.04.20"
"352","경기도 화성시 동탄구 산척동","744","0744","0000","그린힐 반도유보라 아이비파크 10(1단지)","74.1263","202604","20","43,000","-","1","개인","개인","2018"," 85","-","중개거래","경기 화성시 동탄구","-"
"353","경기도 고양시 일산서구 대화동","2215","2215","0000","성저마을(풍림)","45.3600","202604","20","28,000","-","7","개인","개인","1996","강성로 270","-","중개거래","경기 고양시 일산서구","-"
"354","경기도 화성시 동탄구 산척동","729","0729","0000","호수공원역 센트럴시티","84.5200","202604","20","94,800","-","6","개인","개인","2019"," 20","-","중개거래","경기 화성시 동탄구","-"
"355","경기도 고양시 일산서구 탄현동","1473","1473","0000","탄현마을(일신)","59.8350","202604","20","21,600","-","8","개인","개인","1994","탄현로 80","-","중개거래","경기 고양시 일산서구","-"
"356","경기도 고양시 일산서구 탄현동","1650","1650","0000","일산에듀포레푸르지오","59.8354","202604","20","36,000","-","12","개인","개인","2018","탄현로 136","-","중개거래","경기 고양시 일산서구, 경기 파주시","-"
"357","경기도 고양시 일산서구 주엽동","8","0008","0000","문촌마을6단지기산쌍용","59.7300","202604","20","30,300","-","4","개인","개인","1994","대산로 183","-","중개거래","경기 고양시 일산서구","-"
"358","경기도 고양시 일산서구 주엽동","8","0008","0000","문촌마을6단지기산쌍용","70.1600","202604","20","39,000","-","9","개인","개인","1994","대산로 183","-","중개거래","경기 고양시 일산서구","-"
"359","경기도 고양시 일산서구 일산동","1694","1694","0000","동문","84.9600","202604","20","28,300","-","8","개인","개인","1996","산현로 34","-","중개거래","경기 고양시 일산서구","-"
"360","경기도 고양시 일산서구 일산동","1058","1058","0000","후곡마을(롯데)","84.6300","202604","20","45,000","-","11","개인","개인","1995","후곡로 10","-","직거래","-","-"
"361","경기도 고양시 일산동구 장항동","881","0881","0000","호수마을(현대)","70.1400","202604","20","49,900","-","13","개인","개인","1994","노루목로 100","-","중개거래","경기 고양시 일산동구","-"
"362","경기도 고양시 일산동구 장항동","1784","1784","0000","힐스테이트킨텍스레이크뷰","84.3088","202604","20","86,900","-","10","개인","개인","2019","연리지로 50","-","중개거래","경기 고양시 일산동구, 경기 파주시","-"
"363","경기도 수원시 팔달구 고등동","310","0310","0000","수원역푸르지오자이","84.9800","202604","20","87,300","-","19","개인","개인","2021","고등로 15","-","중개거래","경기 수원시 팔달구","-"
"364","경기도 고양시 덕양구 행신동","905","0905","0000","햇빛마을21단지","134.6400","202604","20","54,000","-","3","개인","개인","1997","화신로 170","-","중개거래","경기 고양시 덕양구","-"
"365","경기도 광주시 역동","243","0243","0000","이편한세상광주역1단지","73.1383","202604","20","57,900","-","2","개인","개인","2016","순암로36번길 88","-","중개거래","경기 광주시, 경기 성남시 중원구","-"
"366","경기도 파주시 야당동","1015","1015","0000","한빛마을4단지롯데캐슬Ⅱ","60.6659","202604","20","47,400","-","10","개인","개인","2018","한빛로 20","-","중개거래","경기 의정부시, 경기 파주시","-"
"367","경기도 파주시 야당동","981","0981","0000","한빛마을1단지한라비발디","120.2360","202604","20","54,500","-","11","개인","개인","2009","미래로 422","-","중개거래","경기 파주시","-"
"368","경기도 의정부시 용현동","547-3","0547","0003","송산주공1단지","49.8600","202604","20","17,400","-","12","개인","개인","2002","부용로 233","-","중개거래","경기 의정부시","-"
"369","경기도 고양시 덕양구 신원동","595","0595","0000","고양삼송동일스위트파크뷰7(1차)","66.0346","202604","20","56,000","-","21","개인","개인","2017","신원2로 50","-","중개거래","경기 고양시 덕양구","-"
"370","경기도 고양시 덕양구 신원동","595","0595","0000","고양삼송동일스위트파크뷰7(1차)","66.0346","202604","20","54,900","-","9","개인","개인","2017","신원2로 50","-","중개거래","경기 고양시 덕양구","-"
"371","경기도 안산시 단원구 원곡동","1002","1002","0000","e편한세상초지역센트럴포레","59.9740","202604","20","60,000","-","10","개인","개인","2021","라성로 16","-","중개거래","경기 안산시 단원구","-"
"372","경기도 수원시 팔달구 매교동","24-6","0024","0006","만강","69.4200","202604","20","34,700","-","5","개인","개인","2021","정조로715번길 29","-","중개거래","경기 수원시 팔달구","-"
"373","경기도 화성시 병점구 반정동","637","0637","0000","반정아이파크캐슬5단지","84.7300","202604","20","74,000","-","2","개인","개인","2022"," 60","-","중개거래","경기 수원시 영통구","-"
"374","경기도 수원시 영통구 영통동","973-3","0973","0003","벽적골두산","59.8400","202604","20","49,000","-","13","개인","개인","1997","영통로 232","-","중개거래","경기 수원시 영통구","-"
"375","경기도 수원시 영통구 영통동","968","0968","0000","신나무실동보","84.9000","202604","20","67,000","-","13","개인","개인","1997","봉영로1517번길 76","-","중개거래","경기 수원시 영통구","-"
"376","경기도 수원시 영통구 영통동","963-2","0963","0002","신나무실신성","59.9650","202604","20","45,500","-","11","개인","개인","1997","매영로310번길 12","-","중개거래","경기 수원시 영통구","-"
"377","경기도 의정부시 의정부동","163-8","0163","0008","베르우스","42.3600","202604","20","18,300","-","9","개인","개인","2018","평화로 487","-","중개거래","경기 의정부시","-"
"378","경기도 수원시 권선구 구운동","462","0462","0000","삼환","84.9000","202604","20","58,000","-","4","개인","개인","1991","수성로 47","-","중개거래","경기 수원시 권선구","-"
"379","경기도 김포시 양촌읍 양곡리","1551","1551","0000","김포한강삼정그린코아더베스트","78.2398","202604","20","36,000","-","7","개인","개인","2020","양곡1로68번길 59","-","중개거래","경기 김포시","-"
"380","경기도 화성시 동탄구 장지동","922","0922","0000","동탄레이크자연앤푸르지오","84.7984","202604","20","95,000","-","21","개인","개인","2020"," 33","-","중개거래","경기 평택시, 경기 화성시 동탄구","-"
"381","경기도 양주시 고암동","121-2","0121","0002","주원마을(주공2단지)","59.4200","202604","20","18,300","-","8","개인","개인","2000","고암길 306-40","-","중개거래","경기 양주시","-"
"382","경기도 안산시 상록구 사동","1346","1346","0000","월드메르디앙","106.3200","202604","20","43,800","-","7","개인","개인","1993","감골로 59","-","중개거래","경기 안산시 상록구","-"
"383","경기도 안산시 상록구 사동","1514","1514","0000","상록마을","96.7970","202604","20","44,000","-","4","개인","개인","1999","삼리로 23","-","중개거래","경기 안산시 단원구, 경기 안산시 상록구","-"
"384","경기도 안산시 상록구 사동","1197","1197","0000","그린시아아파트101동","84.1600","202604","20","28,000","101","8","개인","개인","2012","서암로 4","-","직거래","-","26.04.20"
"385","경기도 동두천시 생연동","714-2","0714","0002","부영아파트(1단지)","59.8404","202604","20","15,500","108","13","개인","개인","2004","생연로 72","-","직거래","-","26.04.20"
"386","경기도 동두천시 지행동","172","0172","0000","동양엔파트","84.9911","202604","20","21,900","-","12","개인","개인","2011","행선로20번길 43","-","중개거래","경기 동두천시","-"
"387","경기도 평택시 청북읍 옥길리","1094","1094","0000","유승한내들","109.3464","202604","20","24,000","-","5","개인","개인","2010","안청로1길 75","-","중개거래","경기 평택시","-"
"388","경기도 평택시 고덕동","2664-1","2664","0001","고덕국제신도시대광로제비앙THEART","84.9254","202604","20","52,500","-","17","개인","개인","2022","고덕국제6로 49","-","중개거래","경기 평택시","-"
"389","경기도 평택시 고덕동","2619-1","2619","0001","호반써밋고덕신도시","102.6724","202604","20","84,500","-","16","개인","개인","2021","고덕국제1로 50","-","중개거래","경기 평택시","-"
"390","경기도 김포시 통진읍 마송리","134","0134","0000","현대1","84.7430","202604","20","22,000","-","5","개인","개인","1997","김포대로2270번길 29","-","중개거래","경기 김포시","-"
"391","경기도 김포시 통진읍 마송리","536","0536","0000","김포마송1차대방엘리움센트럴파크","59.9115","202604","20","33,000","-","12","개인","개인","2023","마송공원길 35","-","중개거래","경기 김포시","-"
"392","경기도 김포시 통진읍 마송리","536","0536","0000","김포마송1차대방엘리움센트럴파크","59.9115","202604","20","24,000","-","12","개인","개인","2023","마송공원길 35","20260421","중개거래","경기 김포시","-"
"393","경기도 평택시 용이동","652","0652","0000","평택비전에듀포레푸르지오","84.9550","202604","20","53,000","-","24","개인","개인","2018","용죽2로 30","-","중개거래","경기 안성시, 경기 평택시","-"
"394","경기도 평택시 용이동","737","0737","0000","e편한세상평택용이1단지","84.6700","202604","20","31,500","-","13","개인","법인","2017","신흥1로 67","-","중개거래","경기 평택시","-"
"395","경기도 평택시 용이동","581","0581","0000","평택용이금호어울림1단지","84.9954","202604","20","30,500","-","13","개인","개인","2015","현촌3길 21","-","중개거래","경기 평택시","-"
"396","경기도 의정부시 신곡동","727-1","0727","0001","한국아파트","49.6860","202604","20","23,500","-","12","개인","개인","1999","회룡로 245","-","중개거래","경기 의정부시","-"
"397","경기도 의정부시 신곡동","685","0685","0000","신성","84.6300","202604","20","26,900","-","9","개인","개인","1993","능곡로 69","-","중개거래","경기 의정부시","-"
"398","경기도 김포시 사우동","857","0857","0000","풍년마을(흥화)","59.9400","202604","20","29,000","-","13","개인","개인","1998","풍년로 19","-","중개거래","경기 김포시","-"
"399","경기도 화성시 병점구 기산동","476","0476","0000","에스케이뷰파크2차","84.9815","202604","20","62,100","-","22","개인","개인","2017"," 256","-","중개거래","경기 화성시 병점구","-"
"400","경기도 용인시 수지구 신봉동","905","0905","0000","우남퍼스트빌","39.5619","202604","20","49,300","-","15","개인","개인","2004","신봉1로 27","-","중개거래","경기 용인시 수지구","-"
"401","경기도 수원시 영통구 망포동","725","0725","0000","영통SKVIEW","59.5404","202604","20","83,500","-","4","개인","개인","2016","영통로200번길 112","-","중개거래","경기 수원시 영통구","-"
"402","경기도 수원시 영통구 망포동","728","0728","0000","힐스테이트영통","84.8897","202604","20","127,000","-","29","개인","개인","2017","덕영대로 1462-14","-","중개거래","경기 수원시 영통구","-"
"403","경기도 수원시 영통구 망포동","702","0702","0000","쌍용스윗닷홈2차","84.8867","202604","20","40,000","-","10","개인","개인","2004","태장로54번길 122","-","중개거래","경기 수원시 영통구","-"
"404","경기도 수원시 영통구 망포동","696","0696","0000","망포벽산이빌리지","84.9000","202604","20","44,000","-","15","개인","개인","2002","동탄지성로488번길 22","-","중개거래","경기 수원시 영통구","-"
"405","경기도 화성시 병점구 반월동","870","0870","0000","신영통현대4차","84.9485","202604","20","40,700","-","4","개인","개인","2002"," 20","-","중개거래","경기 화성시 병점구","-"
"406","경기도 평택시 동삭동","650","0650","0000","이안","84.8700","202604","20","24,500","-","12","개인","개인","2005","동삭로 371","-","중개거래","경기 평택시","-"
"407","경기도 평택시 동삭동","388-13","0388","0013","더샵지제역센트럴파크2BL","59.7656","202604","20","37,800","-","7","개인","개인","2020","지제동삭2로 177","-","중개거래","경기 평택시","-"
"408","경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.9310","202604","20","28,600","-","6","개인","개인","2001","감정로38번길 16","-","중개거래","경기 김포시","-"
"409","경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8674","202604","20","44,000","-","5","개인","개인","2012","중봉로 1-1","-","중개거래","경기 김포시, 인천 서구","-"
"410","경기도 양주시 덕계동","201","0201","0000","양주윤중아파트","77.4150","202604","20","22,000","-","14","개인","개인","2002","회천남로416번길 17","-","중개거래","경기 양주시","-"
"411","경기도 평택시 비전동","887","0887","0000","문화","49.8600","202604","20","13,000","-","9","개인","개인","1994","중앙로 301","-","중개거래","경기 평택시","-"
"412","경기도 평택시 비전동","967","0967","0000","뜨레휴이곡마을7단지","84.9700","202604","20","32,000","-","13","개인","개인","2017","비전4로 175","-","직거래","-","-"
"413","경기도 평택시 이충동","478","0478","0000","주공4","46.6500","202604","20","14,000","-","5","개인","개인","1990","정암로60번길 77","-","중개거래","경기 평택시","-"
"414","경기도 평택시 이충동","457-21","0457","0021","고덕시티","20.0600","202604","20","7,500","-","9","개인","개인","2020","정암로 35","-","중개거래","경기 평택시","-"
"415","경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","153.2305","202604","20","57,500","-","3","개인","개인","2012","중봉로 1-1","-","중개거래","경기 김포시","-"
"416","경기도 의정부시 신곡동","669","0669","0000","극동","47.8800","202604","20","16,950","-","17","개인","개인","1995","추동로 45","-","중개거래","경기 의정부시","-"
"417","경기도 평택시 칠원동","542","0542","0000","평택지제역동문굿모닝힐맘시티1단지","59.7109","202604","20","24,800","-","2","개인","개인","2019","신촌1로 9","-","중개거래","경기 평택시","-"
"418","경기도 의정부시 신곡동","167-20","0167","0020","극동스타클래스","75.5320","202604","20","26,000","-","10","개인","개인","2006","시민로317번길 15","-","중개거래","경기 의정부시","-"
"419","경기도 광명시 철산동","634","0634","0000","철산래미안자이","116.7300","202604","20","153,000","-","31","개인","개인","2009","디지털로 56","-","중개거래","경기 광명시","-"
"420","경기도 화성시 병점구 능동","1039","1039","0000","서동탄역우남퍼스트빌아파트","84.2119","202604","20","39,600","-","13","개인","개인","2002"," 286","-","중개거래","경기 화성시 동탄구, 경기 화성시 병점구","-"
"421","경기도 김포시 장기동","1312","1312","0000","청송마을(현대3)","153.4880","202604","20","63,000","-","6","개인","개인","2001","청송로 19","-","중개거래","경기 김포시","-"
"422","경기도 부천시 오정구 오정동","179","0179","0000","세종2","82.4250","202604","20","43,300","-","4","개인","개인","1995","오정로252번길 41","-","중개거래","경기 부천시 오정구","-"
"423","경기도 부천시 오정구 오정동","415-4","0415","0004","효행복마을","14.6380","202604","20","6,500","-","6","법인","개인","2013","오정로211번길 73","-","중개거래","경기 부천시 오정구","-"
"424","경기도 화성시 병점구 반월동","870","0870","0000","신영통현대4차","84.9485","202604","20","43,000","-","2","개인","개인","2002"," 20","-","중개거래","경기 화성시 병점구","-"
"425","경기도 광주시 신현동","681-3","0681","0003","현대모닝사이드1-A","161.7730","202604","20","58,000","-","15","개인","개인","2002","신현로 65-24","-","직거래","-","-"
"426","경기도 광주시 신현동","588-1","0588","0001","현대모닝사이드2","84.7780","202604","20","41,500","-","10","개인","개인","2001","새말길 93","-","중개거래","경기 광주시","-"
"427","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9959","202604","20","125,000","-","14","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"428","경기도 부천시 소사구 괴안동","88","0088","0000","현대(88-0)","55.5700","202604","20","15,000","-","5","개인","개인","1986","범안로 37","-","직거래","-","-"
"429","경기도 부천시 소사구 괴안동","269","0269","0000","역곡휴먼빌아파트","41.0458","202604","20","30,700","-","17","개인","개인","2022","경인로425번길 58","-","중개거래","경기 부천시 소사구, 서울 구로구","-"
"430","경기도 성남시 중원구 성남동","4031","4031","0000","한빛스위티","80.8500","202604","20","50,000","-","5","개인","개인","2005","성남대로1130번길 26","-","직거래","-","-"
"431","경기도 화성시 병점구 반월동","974","0974","0000","신동탄포레자이","84.9777","202604","20","93,700","-","6","개인","개인","2023"," 31","-","중개거래","경기 화성시 병점구","-"
"432","경기도 부천시 소사구 범박동","154-2","0154","0002","부천범박힐스테이트1단지","75.8400","202604","20","49,000","-","12","개인","개인","2004","범안로 81","-","중개거래","경기 부천시 소사구, 서울 구로구","-"
"433","경기도 부천시 소사구 범박동","152-2","0152","0002","부천범박힐스테이트4단지","99.6100","202604","20","60,500","-","18","개인","개인","2003","범안로96번길 23","-","중개거래","경기 부천시 소사구","-"
"434","경기도 부천시 소사구 범박동","151-2","0151","0002","부천범박힐스테이트5단지","140.9400","202604","20","68,300","-","3","개인","개인","2003","범안로 130-27","-","중개거래","경기 부천시 소사구","-"
"435","경기도 용인시 수지구 죽전동","1165","1165","0000","새터마을죽전힐스테이트","84.9959","202604","20","78,700","-","8","개인","개인","2004","현암로125번길 11","-","중개거래","경기 용인시 수지구","-"
"436","경기도 화성시 병점구 반월동","880","0880","0000","반달마을두산위브1단지","84.9270","202604","20","51,000","-","4","개인","개인","2007"," 27","-","중개거래","경기 화성시 병점구","-"
"437","경기도 용인시 기흥구 보정동","1282","1282","0000","더샵보정애비뉴1단지","133.7209","202604","20","70,000","-","17","개인","개인","2004","용구대로2518번길 15","-","직거래","-","-"
"438","경기도 양평군 용문면 다문리","691-6","0691","0006","용문그린","59.7400","202604","20","13,100","-","1","개인","개인","2004","다문북길 47","-","중개거래","강원 원주시","-"
"439","경기도 부천시 원미구 중동","1027","1027","0000","한라마을(주공3)","59.5600","202604","20","41,000","-","14","개인","개인","1996","도약로 106","-","중개거래","경기 부천시 원미구","-"
"440","경기도 포천시 소흘읍 송우리","150","0150","0000","원일산호","59.4000","202604","20","14,800","-","5","개인","개인","1993","봉솔로2길 15","-","중개거래","경기 포천시","-"
"441","경기도 포천시 군내면 구읍리","743","0743","0000","포천2차아이파크","74.8302","202604","20","29,500","-","2","개인","개인","2017","호국로 1536-22","-","직거래","-","-"
"442","경기도 용인시 기흥구 중동","1101","1101","0000","신동백롯데캐슬에코2단지","112.5500","202604","20","70,000","-","14","개인","개인","2013","동백죽전대로527번길 67","-","중개거래","경기 용인시 기흥구","-"
"443","경기도 부천시 원미구 약대동","218","0218","0000","부천3차아이파크","59.9925","202604","20","56,800","-","19","개인","개인","2017","약대로 20","-","중개거래","경기 부천시 원미구","-"
"444","경기도 용인시 기흥구 중동","860","0860","0000","성산마을서해그랑블","129.8970","202604","20","64,000","-","6","개인","개인","2006","동백4로 26","-","중개거래","경기 용인시 기흥구","-"
"445","경기도 용인시 기흥구 중동","1046","1046","0000","초당마을삼부르네상스13단지아파트(코아루)","84.5400","202604","20","47,000","-","15","개인","개인","2006","동백1로 12","-","중개거래","경기 용인시 기흥구","-"
"446","경기도 안양시 동안구 관양동","1589","1589","0000","한가람(세경)","51.7500","202604","20","66,000","-","14","개인","개인","1996","달안로 110","-","중개거래","경기 안양시 동안구","-"
"447","경기도 용인시 기흥구 동백동","656","0656","0000","호수마을서해그랑블","84.5700","202604","20","53,000","-","10","개인","개인","2006","동백7로 56","-","중개거래","경기 용인시 기흥구","-"
"448","경기도 안양시 동안구 비산동","425","0425","0000","삼성래미안","84.9180","202604","20","82,300","-","15","개인","개인","2003","관악대로 135","-","중개거래","경기 안양시 동안구","-"
"449","경기도 용인시 기흥구 청덕동","567","0567","0000","호반베르디움","125.2675","202604","20","56,000","-","3","개인","개인","2008","구성로 411","-","중개거래","경기 용인시 기흥구","-"
"450","경기도 용인시 기흥구 마북동","620","0620","0000","용화마을태영데시앙2","84.8170","202604","20","44,600","-","9","개인","개인","2003","구성로 44-5","-","직거래","-","-"
"451","경기도 성남시 분당구 정자동","6","0006","0000","파크뷰","84.9900","202604","20","181,100","605","10","개인","개인","2004","정자일로 248","-","직거래","-","26.04.20"
"452","경기도 안양시 만안구 석수동","275-1","0275","0001","현대아파트","84.8700","202604","20","62,000","-","15","개인","개인","1999","안양로532번길 12","-","중개거래","경기 안양시 만안구","-"
"453","경기도 안양시 만안구 안양동","70","0070","0000","대우","84.1400","202604","20","35,500","-","7","개인","개인","1991","경수대로1001번길 116","-","직거래","-","-"
"454","경기도 안양시 만안구 안양동","534-5","0534","0005","명지캐럿162주상복합","84.9809","202604","20","43,000","-","15","개인","개인","2006","만안로 17","-","중개거래","경기 안양시 동안구, 경기 안양시 만안구","-"
"455","경기도 용인시 기흥구 언남동","522","0522","0000","힐스테이트구성","59.9546","202604","20","75,000","-","16","개인","개인","2023","용인향교로 29","-","중개거래","경기 용인시 기흥구","-"
"456","경기도 성남시 분당구 서현동","96","0096","0000","시범우성","84.6000","202604","20","129,000","-","4","개인","개인","1991","중앙공원로 54","-","직거래","-","-"
"457","경기도 용인시 기흥구 영덕동","13","0013","0000","두진","84.9900","202604","20","33,000","-","2","개인","개인","1996","덕영대로2077번길 8","-","중개거래","경기 용인시 기흥구","-"
"458","경기도 용인시 기흥구 영덕동","947","0947","0000","청현마을기흥데시앙","84.9900","202604","20","41,000","-","11","개인","개인","2005","덕영대로2077번길 53","-","중개거래","경기 용인시 기흥구","-"
"459","경기도 화성시 병점구 병점동","506","0506","0000","병점역우남퍼스트빌3차","83.7357","202604","20","27,500","-","5","개인","개인","2001"," 50","-","중개거래","경기 화성시 병점구","-"
"460","경기도 화성시 병점구 병점동","881","0881","0000","병점역아이파크캐슬","84.9800","202604","20","74,500","-","17","개인","개인","2021"," 31","-","중개거래","경기 화성시 병점구","-"
"461","경기도 의정부시 고산동","903","0903","0000","고산리슈빌포레","59.9100","202604","20","34,000","-","8","개인","개인","2021","훈민로 13","-","중개거래","경기 의정부시","-"
"462","경기도 화성시 병점구 병점동","871","0871","0000","병점역효성해링턴플레이스","84.9684","202604","20","49,000","-","8","개인","개인","2013"," 60","-","중개거래","경기 화성시 병점구","-"
"463","경기도 성남시 분당구 야탑동","334","0334","0000","장미마을(현대)","75.1880","202604","20","85,000","-","3","개인","개인","1993","장미로 101","-","직거래","-","-"
"464","경기도 화성시 동탄구 영천동","716","0716","0000","동탄역반도유보라아이비파크2.0","84.9921","202604","20","63,000","-","2","개인","개인","2016"," 55","-","중개거래","경기 화성시 동탄구","-"
"465","경기도 용인시 기흥구 보라동","558","0558","0000","신창미션힐","84.9715","202604","20","37,000","-","6","개인","개인","2002","사은로126번길 33","-","중개거래","경기 용인시 기흥구","-"
"466","경기도 용인시 기흥구 구갈동","604","0604","0000","강남마을계룡리슈빌(7단지)","84.7880","202604","20","48,500","-","11","개인","개인","2004","강남동로 54","-","중개거래","경기 용인시 기흥구","-"
